time,observed,lower,median,upper,truth
477,28.342029728651905,27.70887423008854,27.86692507357847,28.014586174025496,27.86200000000011
478,26.99496440108286,27.705907107759877,27.869825112235993,28.00945961946984,27.86800000000011
479,29.265859982953717,27.719680111547262,27.899470654529843,28.0715825830784,27.87400000000011
480,27.86277057422414,27.745712068467967,27.912536768342157,28.155195318755133,27.88000000000011
481,31.473916490051,27.731781847407007,27.906359030370034,28.103370448456023,27.88600000000011
482,27.688364247905884,27.759015249517972,27.923563917133155,28.10675533368576,27.89200000000011
483,29.76907313164912,27.778351869909073,27.924162557837484,28.09653238160371,27.89800000000011
484,28.88653749990564,27.793872891403282,27.934683040416452,28.117610436235385,27.90400000000011
485,28.12647990930136,27.800594812784134,27.933059753987568,28.092761555345323,27.91000000000011
486,28.88880506765932,27.817457015810643,27.94589965988252,28.122923328003427,27.91600000000011
487,27.508892763521267,27.820476751648243,27.953792100404087,28.168877412196643,27.92200000000011
488,29.17009208767633,27.830147635377926,27.962795405389812,28.1859858202446,27.92800000000011
489,29.27972210410233,27.842911629368352,27.96412916236155,28.168036088476747,27.93400000000011
490,27.66783770782593,27.857216881562287,27.973612986693546,28.174664463574025,27.94000000000011
491,28.743174823721542,27.864848717672345,27.987600946497622,28.193686035457386,27.94600000000011
492,29.78032793665122,27.90005802943917,27.986950951778173,28.161614322628942,27.952000000000112
493,28.261275870359693,27.90649559318077,27.99283502912209,28.148731025315875,27.958000000000112
494,32.05312099126811,27.90120885173706,28.009795591756067,28.16448389194852,27.964000000000112
495,29.562015104028028,27.914226446768534,28.01598117323229,28.18894214085322,27.970000000000116
496,30.23492766029517,27.930715962673776,28.02250954908834,28.20081367983073,27.976000000000116
497,26.91776623785209,27.92553967967911,28.02724466455725,28.187681719015757,27.982000000000117
498,27.07310172183101,27.933792163698627,28.03222461498222,28.216148460786698,27.988000000000117
499,29.418112990912757,27.95361963688738,28.034568553890786,28.177311650709676,27.994000000000117
500,27.560426306946656,27.95599913804515,28.037509998340425,28.184689221849695,28.000000000000117
501,29.833236145040555,27.95553626871616,28.04189700744803,28.198470099271518,28.006000000000117
502,29.09658078028427,27.972055710095354,28.070522486018156,28.247725929564332,28.012000000000118
503,28.770201255477915,27.974828108910593,28.07465797609946,28.24897554842381,28.018000000000114
504,29.770658056711984,27.992485715495715,28.088793989624776,28.289850751693024,28.024000000000115
505,28.04130316530632,27.988220418408595,28.085415073333856,28.252563313923797,28.030000000000115
506,28.090956931571544,27.992639188377037,28.089567643851293,28.24214330471896,28.036000000000115
507,30.679092017119704,27.991790060123723,28.08600367471464,28.231409532032895,28.042000000000115
508,29.78010201818921,28.01219279551308,28.10037473259333,28.258176414645018,28.04800000000012
509,26.01485204541733,28.018380311192562,28.108162223929998,28.258924504013446,28.05400000000012
510,27.6708072337668,28.024267887177835,28.10781714796817,28.239618070003317,28.06000000000012
511,28.624294913201123,28.004498469586636,28.10943326805132,28.245951934327472,28.06600000000012
512,31.17778136165817,28.03629138680244,28.122973918957342,28.250944043557435,28.07200000000012
513,25.80552368397264,28.028971117261012,28.121717462006636,28.240674016044313,28.07800000000012
514,29.017067924090604,28.039745875407803,28.12817742880154,28.25910633695479,28.08400000000012
515,29.86574448319312,28.041168288471322,28.123461562976722,28.256398836166934,28.09000000000012
516,28.16433736265328,27.999752847171965,28.140824084980757,28.270863678244027,28.09600000000012
517,27.879679250249225,28.052388293650594,28.146329464604392,28.27131239762194,28.10200000000012
518,27.357599920137154,28.050659565999474,28.1529342523338,28.300520169961917,28.10800000000012
519,28.95159664634737,27.999326392877034,28.150942785965526,28.271239688654116,28.11400000000012
520,28.879634106449817,27.920435229771865,28.156854022543,28.283447738677722,28.12000000000012
521,29.039248782521614,27.886732442917232,28.157701445530517,28.261530091271776,28.12600000000012
522,29.3606404936082,27.916251822734665,28.166439881956755,28.269124586965404,28.13200000000012
523,30.382650839827424,27.924993224656454,28.165414883632522,28.26814782932119,28.13800000000012
524,30.19319170891028,27.96175847604634,28.174096217888476,28.288877938744143,28.14400000000012
525,29.19744448556813,27.96793633223966,28.184012686324696,28.287294731951146,28.15000000000012
526,31.65226213513278,27.997589640518836,28.194099781561235,28.314619242424083,28.15600000000012
527,30.16599756618094,28.047384580955264,28.19845160175866,28.325362333893942,28.16200000000012
528,27.41784027572901,28.023940622356793,28.207869097546112,28.330769118275903,28.16800000000012
529,29.30793227603472,28.115741403971292,28.21385586934602,28.33935495369376,28.17400000000012
530,29.4428818096126,28.127267083215976,28.220532250255083,28.340115865546746,28.18000000000012
531,26.14298088324725,28.111313427978068,28.224370485737882,28.346975285275878,28.18600000000012
532,26.258807009457865,28.134330579599443,28.23720886974325,28.374479107633423,28.19200000000012
533,27.35204899432148,28.113527793592805,28.24694086091913,28.365735152834773,28.19800000000012
534,29.71179793467537,28.11575408401478,28.254372885176693,28.382182724174466,28.20400000000012
535,30.15708498262125,28.107464163955132,28.2563755024887,28.375479436362077,28.21000000000012
536,27.24220124727019,28.062890979237437,28.26855874174666,28.37737598553629,28.21600000000012
537,28.415532103978794,28.13858639450437,28.26585684819792,28.37639468561296,28.22200000000012
538,29.75286004606693,28.177114367453413,28.282699702435266,28.40657165078705,28.22800000000012
539,31.021771321751707,28.182505583080303,28.282766421575054,28.407413733888284,28.234000000000123
540,29.169567349369228,28.19004260262625,28.297516576036124,28.46187721672323,28.240000000000123
541,29.016765005509463,28.1647794688521,28.299404718555195,28.443873930780857,28.246000000000123
542,30.746129370261198,28.17354330748187,28.312437358427704,28.448250161304074,28.252000000000123
543,27.68131915591143,28.225028031097192,28.317970309752127,28.453562626355314,28.258000000000123
544,28.847074160016533,28.19607330506235,28.324435057750776,28.462069114245562,28.264000000000124
545,27.68470733640342,28.213428217208268,28.327944157177807,28.442862689033728,28.270000000000124
546,26.458015567956853,28.193001598616874,28.33704095840448,28.468510312060555,28.276000000000124
547,28.676077537992885,28.172744975048627,28.33680768310841,28.478123759329403,28.282000000000124
548,29.86216131224243,28.185492680148027,28.35225765387237,28.548202293727666,28.288000000000125
549,25.468362554209342,28.180521877146568,28.357748145364607,28.532811146596973,28.294000000000125
550,29.77709498000039,28.250230880062396,28.36107371887035,28.569017426979762,28.300000000000125
551,29.515197134398772,28.248217787138223,28.372867568012644,28.61159302001869,28.306000000000125
552,30.697716432698588,28.23687515275534,28.377008934479953,28.58945805664523,28.31200000000013
553,27.12448639612501,28.270637256040363,28.383201314914423,28.554428895553176,28.31800000000013
554,29.598049255004067,28.2882647748647,28.397522372782557,28.627422955544183,28.32400000000013
555,29.947661548071963,28.284361295512635,28.397052968664404,28.62216612672745,28.33000000000013
556,31.413521491692592,28.296741343484946,28.403007831269587,28.656732994008266,28.336000000000126
557,26.09629741550421,28.27987301648875,28.40193383266614,28.64132424058856,28.342000000000127
558,30.714544203660147,28.263206595019575,28.413854116282355,28.71082787623644,28.348000000000127
559,29.544837911562347,28.29791020329803,28.419571215551095,28.69813913193109,28.354000000000127
560,30.557325346565197,28.31723126113284,28.429172770985154,28.75120392336354,28.360000000000127
561,30.37340925800249,28.31540261198302,28.439920376489983,28.752643760652123,28.366000000000128
562,26.95026636168579,28.257709268248036,28.44219016121275,28.830170627342394,28.372000000000128
563,29.71750449887354,28.204397775879627,28.44654502692088,28.78917513966561,28.378000000000128
564,30.518987985338107,28.21300831038493,28.4490656943523,28.80263239237464,28.38400000000013
565,27.539866458066783,28.227581455828453,28.451402048112683,28.72660782947594,28.39000000000013
566,29.5718366712279,28.239239041315027,28.458719987314243,28.753813666490693,28.39600000000013
567,28.32547086364092,28.262909517745083,28.461347173500805,28.73181507903455,28.40200000000013
568,27.90165480777621,28.269193154986155,28.468191180385652,28.72029503300148,28.40800000000013
569,30.082579928446137,28.273721161977353,28.474001470771302,28.72006436687435,28.41400000000013
570,28.64497774937553,28.28100756051537,28.479616272941982,28.69784753194867,28.42000000000013
571,27.863133633466663,28.247468526542345,28.478949773616165,28.643526496538477,28.42600000000013
572,28.051592087245904,28.284563681133996,28.49012280943783,28.684229539407966,28.43200000000013
573,28.383292663555256,28.278711147441104,28.493966545233807,28.667547492668437,28.43800000000013
